name,price,unit,imageUrl,product_type
"Teekanne Ingwer Kurkuma 32,4g, 18 Beutel",,"32,40g (1 kg = 45,99 €)",https://img.rewe-static.de/7088301/27058932_digital-image.png?imwidth=304&impolicy=kues,tee
Teekanne Bio Kräutertee Innere Ruhe 18 Teebeutel,"2,89 €","36g (1 kg = 80,28 €)",https://img.rewe-static.de/9963879/45532276_digital-image.png?imwidth=304&impolicy=kues,tee
"REWE Feine Welt Bio Früchtetee Spanische Orange 30g, 15 Beutel","1,99 €","30g (1 kg = 66,33 €)",https://img.rewe-static.de/8968432/40635940_digital-image.png?imwidth=304&impolicy=kues,tee
"REWE Feine Welt Bio Kräutertee Brasilianische Mate 30g, 15 Beutel","1,99 €","30g (1 kg = 66,33 €)",https://img.rewe-static.de/9049170/40635949_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Melissen-Mischung 50g, 25 Beutel","2,35 €",50g (1 kg = 47 €),https://img.rewe-static.de/6818110/7478970_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Strawberry Cheesecake 40,5g, 18 Beutel","2,29 €","40,50g (1 kg = 56,54 €)",https://img.rewe-static.de/2746164/25155207_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Ingwer-Zitrone 40g, 20 Beutel","2,35 €","40g (1 kg = 58,75 €)",https://img.rewe-static.de/7036409/35156763_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Erdbeere Orange 45g, 20 Beutel","2,35 €","45g (1 kg = 52,22 €)",https://img.rewe-static.de/7676469/40130258_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Gute Nacht Melatonin Lavendel-Kamille 32g, 16 Beutel","2,49 €","32g (1 kg = 77,81 €)",https://img.rewe-static.de/8984312/41744183_digital-image.png?imwidth=304&impolicy=kues,tee
"Messmer Miami Vibes Himbeere & Lemon 50g, 20 Beutel","2,49 €","50g (1 kg = 49,80 €)",https://img.rewe-static.de/8493541/32389364_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Immunsystem Apfel-Zitrone-Ingwer 32g, 16 Beutel","2,49 €","32g (1 kg = 77,81 €)",https://img.rewe-static.de/7647027/42700503_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Milde Hagebutten-Mischung 75g, 25 Beutel","2,35 €","75g (1 kg = 31,33 €)",https://img.rewe-static.de/6818277/16001230_digital-image.png?imwidth=304&impolicy=kues,tee
"Teehaus 9 Kräuter 60g, 40 Beutel","1,99 €","60g (1 kg = 33,17 €)",https://img.rewe-static.de/3557707/3043480_digital-image.png?imwidth=304&impolicy=kues,tee
"Teehaus Brombeer Himbeer 90g, 40 Beutel","1,99 €","90g (1 kg = 22,11 €)",https://img.rewe-static.de/9360662/4777240_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Süßer Bratapfel 50g, 20 Beutel","2,49 €","50g (1 kg = 49,80 €)",https://img.rewe-static.de/2803646/25609886_digital-image.png?imwidth=304&impolicy=kues,tee
Berliner Kaffeerösterei Finest English Breakfast Tea №011 Bio 100g,"6,49 €","100g (1 kg = 64,90 €)",https://img.rewe-static.de/8268993/41612500_digital-image.png?imwidth=304&impolicy=kues,tee
David Rio Elephant Vanilla Chai 398g,"12,99 €","398g (1 kg = 32,64 €)",https://img.rewe-static.de/2704936/39766457_digital-image.png?imwidth=304&impolicy=kues,tee
GEPA Bio Ceylon Schwarztee 40g,"3,49 €","40g (1 kg = 87,25 €)",https://img.rewe-static.de/8316288/31502844_digital-image.png?imwidth=304&impolicy=kues,tee
GEPA Bio Darjeeling Grüntee 100g,"6,99 €","100g (1 kg = 69,90 €)",https://img.rewe-static.de/8071872/31502831_digital-image.png?imwidth=304&impolicy=kues,tee
"Gepa Bio Earl Grey Schwarztee 34g, 20 Beutel","3,49 €","34g (1 kg = 102,65 €)",https://img.rewe-static.de/8316499/31210148_digital-image.png?imwidth=304&impolicy=kues,tee
"Gepa Bio Grüntee Darjeeling 40g, 20 Beutel","3,49 €",40g,https://img.rewe-static.de/8315678/46344553_digital-image.png?imwidth=304&impolicy=kues,tee
"Gepa Bio Grüntee Mischung 40g, 20 Beutel","2,99 €",40g,https://img.rewe-static.de/8072871/41808341_digital-image.png?imwidth=304&impolicy=kues,tee
"Gepa Bio Pfefferminztee 34g, 20x1,7g","2,99 €","34g (1 kg = 87,94 €)",https://img.rewe-static.de/8317565/31502843_digital-image.png?imwidth=304&impolicy=kues,tee
Gepa Bio Schwarztee Assam 100g,"6,99 €",100g,https://img.rewe-static.de/8318304/46048187_digital-image.png?imwidth=304&impolicy=kues,tee
Giest & Co Früchtetee Bio Ägyptische Minze & Oasenfrüchte 100g,"5,49 €",100g,https://img.rewe-static.de/8265842/48330486_digital-image.png?imwidth=304&impolicy=kues,tee
Schlürf Frau Lühr's Bio Jasmin Tea 35g 20 Beutel,"3,19 €","35g (1 kg = 91,14 €)",https://img.rewe-static.de/3478956/41147021_digital-image.png?imwidth=304&impolicy=kues,tee
Schlürf Frau Ricklefs Bio Rooibos Tea 40g 20 Beutel,"3,19 €","40g (1 kg = 79,75 €)",https://img.rewe-static.de/3443346/41147018_digital-image.png?imwidth=304&impolicy=kues,tee
Schlürf Herr Oltmann's Bio Peppermint Tea 40g 20 Beutel,"3,19 €","40g (1 kg = 79,75 €)",https://img.rewe-static.de/3443398/41147019_digital-image.png?imwidth=304&impolicy=kues,tee
David Rio Tiger Spice chai 398g,"12,99 €","398g (1 kg = 32,64 €)",https://img.rewe-static.de/2781842/29150957_digital-image.png?imwidth=304&impolicy=kues,tee
Giest & Co. Früchtetee Waldspaziergang 100g,"5,99 €",100g,https://img.rewe-static.de/8508075/43644733_digital-image.png?imwidth=304&impolicy=kues,tee
Berliner Kaffeerösterei Uffwachtee Kräuter 50g,"3,99 €","50g (1 kg = 79,80 €)",https://img.rewe-static.de/8269013/38487733_digital-image.png?imwidth=304&impolicy=kues,tee
Bad Heilbrunner Arzneitee Nieren- und Blasentee 8 Stück,"1,29 €",8 Stück,https://img.rewe-static.de/8639834/34125957_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Prinzessin Lillifee 55g, 20 Beutel","2,49 €","55g (1 kg = 45,27 €)",https://img.rewe-static.de/1298928/21844573_digital-image.png?imwidth=304&impolicy=kues,tee
"Yogi Tea Bio Tee Classic 37,4g 17 Beutel","2,75 €","37,40g (1 kg = 73,53 €)",https://img.rewe-static.de/1383241/20285065_digital-image.png?imwidth=304&impolicy=kues,tee
ja! Zitronentee löslich 400g,"1,99 €","400g (1 kg = 4,98 €)",https://img.rewe-static.de/0713079/26680375_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Kamillentee 37,5g, 25 Beutel","0,89 €","37,50g (1 kg = 23,73 €)",https://img.rewe-static.de/0546026/2972440_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Waldbeere Tee 62,5g, 25 Beutel","1,39 €","62,50g (1 kg = 22,24 €)",https://img.rewe-static.de/8605199/33722058_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Türkischer Apfel Tee 62,5g 25 Beutel","1,69 €","62,50g (1 kg = 27,04 €)",https://img.rewe-static.de/8972047/40683563_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Earl Grey Tee 70g, 40 Beutel","0,99 €","70g (1 kg = 14,14 €)",https://img.rewe-static.de/2725612/25564060_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Fenchel Anis Kümmel Tee 50g, 25 Beutel","1,19 €","50g (1 kg = 23,80 €)",https://img.rewe-static.de/8606032/33722066_digital-image.png?imwidth=304&impolicy=kues,tee
"ja! Pfefferminztee 56g, 25 Beutel","0,89 €","56,25g (1 kg = 15,82 €)",https://img.rewe-static.de/0546040/3871060_digital-image.png?imwidth=304&impolicy=kues,tee
"Coca-Cola Zero Sugar 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2833770/25365898_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2833588/25366075_digital-image.png?imwidth=304&impolicy=kues,cola
"Coca-Cola light 12x0,5l","15,48 €","12x0,50l (1 l = 2,58 €)
zzgl. 3,00€ Pfand",https://img.rewe-static.de/2833777/25365901_digital-image.png?imwidth=304&impolicy=kues,cola
